date,entity_id,metric_name,withdrawal_transactions,deposit_transactions,surcharge_revenue,cash_loaded,cash_variance,settlement_variance,uptime_pct,jam_count,service_minutes_down,automation_minutes_saved,quality_score,priority_score,report_ready_flag
2026-01-01,DEV001,device_daily_operations,515,139,1472.34,32438.77,-196.14,-54.09,97.88,0,37.7,29,96.5,26.2,Y
2026-01-01,DEV002,device_daily_operations,386,140,1144.18,31173.02,-5.85,-1.14,97.89,0,23.2,43,99.1,19.6,Y
2026-01-01,DEV003,device_daily_operations,176,89,551.09,12791.85,-113.19,-33.22,99.35,0,9.7,45,98.4,16.6,Y
2026-01-01,DEV004,device_daily_operations,97,20,282.77,7033.0,54.34,21.02,99.38,0,7.7,51,99.1,12.3,Y
2026-01-01,DEV005,device_daily_operations,97,68,302.23,7105.67,-9.25,-3.52,97.56,2,97.9,35,92.8,37.5,Y
2026-01-01,DEV006,device_daily_operations,393,140,1277.33,32515.38,1.73,0.64,99.39,0,9.6,64,99.6,14.4,Y
2026-01-01,DEV007,device_daily_operations,202,94,570.06,12409.47,768.66,246.13,99.92,0,0.7,41,91.4,29.3,Y
2026-01-01,DEV008,device_daily_operations,126,47,382.38,8118.26,132.79,42.85,100,0,0,31,98.5,10.3,Y
2026-01-01,DEV009,device_daily_operations,307,157,864.49,19195.53,-95.47,-34.41,97.16,1,77.9,49,94.4,36.3,Y
2026-01-01,DEV010,device_daily_operations,296,131,988.22,16076.63,28.95,8.26,99.14,0,16.2,38,99.1,13.2,Y
2026-01-01,DEV011,device_daily_operations,435,263,1330.49,35452.45,-25.78,-5.3,98.6,0,20.0,38,99.0,19.2,Y
2026-01-01,DEV012,device_daily_operations,237,112,686.22,16986.6,-30.5,-11.56,97.92,1,51.8,45,96.0,34.9,Y
2026-01-01,DEV013,device_daily_operations,288,125,871.9,25908.27,-54.2,-10.23,100,0,0,55,99.4,12.0,Y
2026-01-01,DEV014,device_daily_operations,101,35,356.34,9397.87,35.04,13.74,98.05,0,17.2,53,99.0,19.3,Y
2026-01-01,DEV015,device_daily_operations,174,69,588.32,12058.49,-126.32,-47.06,97.36,1,94.9,21,93.4,39.6,Y
2026-01-01,DEV016,device_daily_operations,99,33,297.07,5620.91,-106.05,-39.33,98.52,0,13.8,45,98.3,21.1,Y
2026-01-01,DEV017,device_daily_operations,201,117,559.67,15650.43,-181.9,-33.95,96.48,0,49.2,33,96.2,33.7,Y
2026-01-01,DEV018,device_daily_operations,260,88,841.0,21522.07,-77.41,-24.64,96.3,0,26.0,65,98.2,32.8,Y
2026-01-01,DEV019,device_daily_operations,174,81,529.58,14248.57,-57.82,-22.17,97.32,0,28.7,29,98.3,23.7,Y
2026-01-01,DEV020,device_daily_operations,427,189,1255.02,36478.76,-57.53,-18.85,100,0,0,59,99.4,12.0,Y
2026-01-01,DEV021,device_daily_operations,209,111,691.23,12066.72,82.98,30.79,98.46,0,20.3,47,98.4,17.9,Y
2026-01-01,DEV022,device_daily_operations,166,62,542.51,13733.82,13.72,4.03,98.16,0,22.0,37,99.1,18.3,Y
2026-01-01,DEV023,device_daily_operations,218,104,701.12,12209.9,-10.67,-3.89,97.39,1,85.8,51,95.0,37.4,Y
2026-01-01,DEV024,device_daily_operations,195,72,662.48,14467.27,101.22,31.8,98.68,0,16.2,64,98.3,23.9,Y
2026-01-01,DEV025,device_daily_operations,298,144,893.15,17015.6,-54.33,-20.73,99.18,0,10.5,67,99.0,13.4,Y
2026-01-01,DEV026,device_daily_operations,203,102,657.39,14338.09,-16.58,-4.51,98.57,0,17.2,50,99.2,16.1,Y
2026-01-01,DEV027,device_daily_operations,174,53,562.79,14509.05,1235.65,501.99,97.96,0,36.0,56,85.0,48.5,N
2026-01-01,DEV028,device_daily_operations,146,71,471.68,13180.46,5.81,2.16,96.47,0,63.7,13,97.7,27.4,Y
2026-01-01,DEV029,device_daily_operations,187,74,561.08,17213.01,32.76,7.94,95.16,0,53.5,56,97.7,35.2,Y
2026-01-01,DEV030,device_daily_operations,153,71,425.02,9775.37,5.69,1.5,100,0,0,20,99.9,8.0,Y
2026-01-01,DEV031,device_daily_operations,37,15,125.67,3149.13,3.07,0.89,97.27,0,38.9,56,98.6,23.0,Y
2026-01-01,DEV032,device_daily_operations,87,33,304.28,5543.12,9.8,4.02,98.85,0,9.1,56,99.6,21.3,Y
2026-01-01,DEV033,device_daily_operations,135,37,372.79,9558.32,103.46,27.24,100,0,0,48,98.9,12.9,Y
2026-01-01,DEV034,device_daily_operations,332,145,1187.78,28215.24,-145.04,-41.27,95.51,0,46.0,12,96.7,42.2,Y
2026-01-01,DEV035,device_daily_operations,184,117,616.65,12411.88,106.2,21.32,97.69,0,29.0,34,97.8,22.5,Y
2026-01-01,DEV036,device_daily_operations,269,93,760.48,22274.0,132.06,51.67,98.47,0,10.9,30,98.1,21.8,Y
2026-01-02,DEV001,device_daily_operations,423,188,1384.65,30849.57,30.28,5.57,95.3,0,46.6,56,98.0,37.4,Y
2026-01-02,DEV002,device_daily_operations,355,355,1147.46,29993.09,-26.77,-6.79,96.64,0,36.3,65,98.4,26.9,Y
2026-01-02,DEV003,device_daily_operations,263,137,765.72,14350.84,168.8,54.56,97.45,1,68.0,38,93.9,36.1,Y
2026-01-02,DEV004,device_daily_operations,528,225,1675.06,37814.7,25.79,8.59,99.3,0,5.0,35,99.5,12.2,Y
2026-01-02,DEV005,device_daily_operations,269,97,876.01,17795.27,-34.7,-10.34,98.56,0,12.7,31,99.2,16.5,Y
2026-01-02,DEV006,device_daily_operations,348,155,1052.65,27436.7,-140.51,-42.91,95.58,0,76.6,46,95.7,37.9,Y
2026-01-02,DEV007,device_daily_operations,191,69,606.03,10563.37,246.88,54.74,98.06,0,24.1,42,96.4,30.0,Y
2026-01-02,DEV008,device_daily_operations,299,86,853.14,18834.72,40.11,14.8,95.71,0,78.0,26,96.8,32.2,Y
2026-01-02,DEV009,device_daily_operations,266,67,804.3,18646.69,33.51,12.06,98.67,0,11.3,36,99.2,18.9,Y
2026-01-02,DEV010,device_daily_operations,250,129,819.6,13707.45,12.75,3.28,98.45,0,28.7,48,98.8,16.7,Y
2026-01-02,DEV011,device_daily_operations,231,104,732.97,16247.14,138.33,34.13,98.68,1,45.2,41,95.0,28.8,Y
2026-01-02,DEV012,device_daily_operations,293,85,872.31,17180.6,233.54,95.02,96.3,1,84.1,24,92.6,47.4,Y
2026-01-02,DEV013,device_daily_operations,399,93,1370.16,24794.79,1.52,0.29,100,0,0,39,100.0,11.0,Y
2026-01-02,DEV014,device_daily_operations,464,204,1468.7,27236.17,-2064.03,-525.46,99.4,1,30.8,22,74.2,56.7,N
2026-01-02,DEV015,device_daily_operations,131,74,420.17,11681.67,-6.28,-2.61,96.21,0,44.0,60,98.4,35.8,Y
2026-01-02,DEV016,device_daily_operations,117,73,373.31,7013.43,124.19,46.81,94.59,0,76.0,54,95.9,43.0,Y
2026-01-02,DEV017,device_daily_operations,358,179,1116.85,23888.29,-101.37,-39.4,97.93,0,24.1,40,98.0,24.3,Y
2026-01-02,DEV018,device_daily_operations,347,92,1057.93,20131.06,101.24,42.05,96.02,0,51.9,42,97.0,34.7,Y
