run_id,run_date,report_name,cadence,business_owner,records_loaded,refresh_delay_minutes,validation_status,distribution_status
RUN0001,2026-01-01,Daily exception queue,daily,Operations leadership,40732,0,failed,on time
RUN0002,2026-01-01,Cash variance reconciliation,daily,Cash logistics,102701,0,passed,on time
RUN0003,2026-01-01,Field service aging,daily,Field service,6343,0,passed,on time
RUN0004,2026-01-01,Prep validation scorecard,daily,Analytics,231133,36,warning,on time
RUN0005,2026-01-01,Monthly performance close,monthly,Finance,80656,8,passed,on time
RUN0006,2026-01-02,Daily exception queue,daily,Operations leadership,18997,0,passed,on time
RUN0007,2026-01-02,Cash variance reconciliation,daily,Cash logistics,174811,14,failed,on time
RUN0008,2026-01-02,Field service aging,daily,Field service,139581,0,passed,on time
RUN0009,2026-01-02,Prep validation scorecard,daily,Analytics,35992,3,passed,on time
RUN0010,2026-01-03,Daily exception queue,daily,Operations leadership,22961,19,warning,on time
RUN0011,2026-01-03,Cash variance reconciliation,daily,Cash logistics,165533,9,passed,on time
RUN0012,2026-01-03,Field service aging,daily,Field service,13626,33,passed,on time
RUN0013,2026-01-03,Prep validation scorecard,daily,Analytics,63379,0,passed,on time
RUN0014,2026-01-04,Daily exception queue,daily,Operations leadership,159630,0,passed,on time
RUN0015,2026-01-04,Cash variance reconciliation,daily,Cash logistics,250108,0,passed,on time
RUN0016,2026-01-04,Field service aging,daily,Field service,250832,11,passed,on time
RUN0017,2026-01-04,Prep validation scorecard,daily,Analytics,167048,84,warning,late
RUN0018,2026-01-05,Daily exception queue,daily,Operations leadership,98777,0,passed,on time
RUN0019,2026-01-05,Cash variance reconciliation,daily,Cash logistics,255669,10,passed,on time
RUN0020,2026-01-05,Field service aging,daily,Field service,131634,0,passed,on time
RUN0021,2026-01-05,Merchant payout review,weekly,Finance,183766,42,warning,late
RUN0022,2026-01-05,Prep validation scorecard,daily,Analytics,136157,26,failed,on time
RUN0023,2026-01-05,Executive operating packet,weekly,Executive team,193675,4,warning,on time
RUN0024,2026-01-06,Daily exception queue,daily,Operations leadership,86664,15,warning,on time
RUN0025,2026-01-06,Cash variance reconciliation,daily,Cash logistics,186991,7,failed,on time
RUN0026,2026-01-06,Field service aging,daily,Field service,243485,42,warning,late
RUN0027,2026-01-06,Prep validation scorecard,daily,Analytics,199031,0,passed,on time
RUN0028,2026-01-07,Daily exception queue,daily,Operations leadership,204750,13,passed,on time
RUN0029,2026-01-07,Cash variance reconciliation,daily,Cash logistics,57133,4,passed,on time
RUN0030,2026-01-07,Field service aging,daily,Field service,27893,0,passed,on time
RUN0031,2026-01-07,Prep validation scorecard,daily,Analytics,61379,13,passed,on time
